system,Precision@5,Recall@5,MAP@5,MRR@5,NDCG@5,Precision@10,Recall@10,MAP@10,MRR@10,NDCG@10
BM25Plus,0.6625,0.276264935,0.819444444,0.864583333,0.86704281,0.60625,0.497853758,0.768003905,0.875,0.870966742
BGE-M3,0.5625,0.212589083,0.740885417,0.814583333,0.812766831,0.50625,0.374985219,0.681394115,0.814583333,0.79663885
MXBAI,0.575,0.207133689,0.713888889,0.7625,0.771721482,0.525,0.368140732,0.699030258,0.7703125,0.792903253
multilingual-e5-large,0.5,0.182120104,0.621788194,0.6875,0.710519338,0.43125,0.329348884,0.61375,0.7015625,0.749837685
Hybrid_RRF_BM25Plus-BGE-M3,0.6625,0.270287607,0.847743056,0.8875,0.882647842,0.6,0.466892212,0.757998305,0.8875,0.852044619
Hybrid_RRF_BM25Plus_MXBAI,0.675,0.258559347,0.819357639,0.85625,0.862562309,0.5875,0.445068204,0.745859405,0.85625,0.836133344
